ComputerName,FileName,FilePath,LocalAddressIP4,TargetFileName,event type
RDUDUDEVJFUW10,wfm-spring-23.2.0.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\wfm-spring-23.2.0.jar,NewExecutableWritten
RDUDUDEVJFUW10,spring-web-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-web-4.3.4.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-security-config-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-config-4.2.3.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,wfm-spring-23.2.0.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\wfm-spring-23.2.0.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-webmvc-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-webmvc-4.3.4.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-security-web-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-web-4.2.3.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-security-core-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-core-4.2.3.RELEASE.jar,ExecutableDeleted
GXB7163,Preceptor Webinar - Spring_2022_South Central JR.lnk,\Device\HarddiskVolume3\Users\jrandall\AppData\Roaming\Microsoft\Windows\Recent\,"10.11.5.192
192.168.86.48",\Device\HarddiskVolume3\Users\jrandall\AppData\Roaming\Microsoft\Windows\Recent\Preceptor Webinar - Spring_2022_South Central JR.lnk,NewExecutableWritten
GXB7163,Preceptor Webinar - Spring_2022_South Central JR.docx,"\Device\HarddiskVolume3\Users\jrandall\OneDrive - HealthStream, Inc\Desktop\","10.11.5.192
192.168.86.48","\Device\HarddiskVolume3\Users\jrandall\OneDrive - HealthStream, Inc\Desktop\Preceptor Webinar - Spring_2022_South Central JR.docx",MSDocxFileWritten
GXB7163,Preceptor Webinar - Spring_2022_South Central JR.lnk,\Device\HarddiskVolume3\Users\jrandall\AppData\Roaming\Microsoft\Windows\Recent\,"10.11.5.192
192.168.86.48",\Device\HarddiskVolume3\Users\jrandall\AppData\Roaming\Microsoft\Windows\Recent\Preceptor Webinar - Spring_2022_South Central JR.lnk,NewExecutableWritten
RDUDUDEVJFUW10,spring-mobile-device-1.1.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-mobile-device-1.1.3.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-web-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-web-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-security-core-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-core-4.2.3.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-context-support-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-context-support-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-aop-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-aop-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-webmvc-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-webmvc-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,wfm-spring-23.2.0.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\wfm-spring-23.2.0.jar,NewExecutableWritten
RDUDUDEVJFUW10,spring-webmvc-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-webmvc-4.3.4.RELEASE.jar,NewExecutableWritten
RDUDUDEVJFUW10,spring-core-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-core-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-beans-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-beans-4.3.4.RELEASE.jar,NewExecutableWritten
RDUDUDEVJFUW10,spring-beans-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-beans-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,wfm-spring-23.2.0.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\wfm-spring-23.2.0.jar,JarFileWritten
RDUDUDEVJFUW10,spring-webmvc-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-webmvc-4.3.4.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,wfm-spring-23.2.0.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\wfm-spring-23.2.0.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-web-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-web-4.3.4.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-security-web-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-web-4.2.3.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-security-core-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-core-4.2.3.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-security-config-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-config-4.2.3.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-mobile-device-1.1.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-mobile-device-1.1.3.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-context-support-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-context-support-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-aop-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-aop-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-security-core-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-core-4.2.3.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-web-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-web-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-beans-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-beans-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-webmvc-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-webmvc-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-core-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-core-4.3.4.RELEASE.jar,JarFileWritten
RDUDUDEVJFUW10,spring-webmvc-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-webmvc-4.3.4.RELEASE.jar,NewExecutableWritten
RDUDUDEVJFUW10,spring-beans-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-beans-4.3.4.RELEASE.jar,NewExecutableWritten
RDUDUDEVJFUW10,wfm-spring-23.2.0.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\wfm-spring-23.2.0.jar,JarFileWritten
RDUDUDEVJFUW10,wfm-spring-23.2.0.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\wfm-spring-23.2.0.jar,NewExecutableWritten
RDUDUDEVJFUW10,wfm-spring-23.2.0.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\wfm-spring-23.2.0.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-web-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-web-4.3.4.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-webmvc-4.3.4.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-webmvc-4.3.4.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-security-web-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-web-4.2.3.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-security-config-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-config-4.2.3.RELEASE.jar,ExecutableDeleted
RDUDUDEVJFUW10,spring-security-core-4.2.3.RELEASE.jar,\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\,"10.102.243.172
10.102.243.173",\Device\HarddiskVolume4\CCase\jifu_admin_WSM_68\AnsosWeb\WSM\Application\wsmprojlib\target\lib\spring-security-core-4.2.3.RELEASE.jar,ExecutableDeleted
